# Copyright (C) 1991-2006 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Full Version
# File: C:\DE1\DE1_TOP\DE1_TOP.csv
# Generated on: Wed Sep 27 14:39:29 2006

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
AUD_ADCDAT,Input,PIN_B6,3,B3_N1,PIN_R16,3.3-V LVTTL,,,
AUD_ADCLRCK,Bidir,PIN_A6,3,B3_N1,PIN_D21,3.3-V LVTTL,,,
AUD_BCLK,Bidir,PIN_A4,3,B3_N1,PIN_M6,3.3-V LVTTL,,,
AUD_DACDAT,Output,PIN_B5,3,B3_N1,PIN_AA18,3.3-V LVTTL,,,
AUD_DACLRCK,Bidir,PIN_A5,3,B3_N1,PIN_E22,3.3-V LVTTL,,,
AUD_XCK,Output,PIN_B4,3,B3_N1,PIN_U4,3.3-V LVTTL,,,
BUTTON_N[3],Input,PIN_T21,6,B6_N0,PIN_B20,3.3-V LVTTL,,,
BUTTON_N[2],Input,PIN_T22,6,B6_N0,PIN_G7,3.3-V LVTTL,,,
BUTTON_N[1],Input,PIN_R21,6,B6_N0,PIN_A19,3.3-V LVTTL,,,
BUTTON_N[0],Input,PIN_R22,6,B6_N0,PIN_H2,3.3-V LVTTL,,,
CLK27MHZ,Input,PIN_D12,3,B3_N0,PIN_L1,3.3-V LVTTL,,,
CLK50MHZ,Input,PIN_L1,2,B2_N1,PIN_B12,3.3-V LVTTL,,,
FL_ADDRESS[21],Output,PIN_R13,7,B7_N0,PIN_B7,,,,
FL_ADDRESS[20],Output,PIN_U13,7,B7_N1,PIN_A9,,,,
FL_ADDRESS[19],Output,PIN_V14,7,B7_N1,PIN_A20,,,,
